trade_date,ticker,rolling_vol_30d
2023-06-01,MSFT,0.29167
2023-06-02,MSFT,0.289229
2023-06-05,MSFT,0.288784
2023-06-06,MSFT,0.285374
2023-06-07,MSFT,0.293223
2023-06-08,MSFT,0.217304
2023-06-09,MSFT,0.200338
2023-06-12,MSFT,0.203193
2023-06-13,MSFT,0.20211
2023-06-14,MSFT,0.20251
2023-06-15,MSFT,0.216939
2023-06-16,MSFT,0.225211
2023-06-20,MSFT,0.226495
2023-06-21,MSFT,0.229706
2023-06-22,MSFT,0.232628
2023-06-23,MSFT,0.23408
2023-06-26,MSFT,0.240695
2023-06-27,MSFT,0.244299
2023-06-28,MSFT,0.244285
2023-06-29,MSFT,0.244374
2023-06-30,MSFT,0.246795
2023-07-03,MSFT,0.246057
2023-07-05,MSFT,0.245981
2023-07-06,MSFT,0.246053
2023-07-07,MSFT,0.242122
2023-07-10,MSFT,0.247024
2023-07-11,MSFT,0.222417
2023-07-12,MSFT,0.217727
2023-07-13,MSFT,0.221542
2023-07-14,MSFT,0.220327
2023-07-17,MSFT,0.217931
2023-07-18,MSFT,0.243292
2023-07-19,MSFT,0.246873
2023-07-20,MSFT,0.255977
2023-07-21,MSFT,0.239859
2023-07-24,MSFT,0.239676
2023-07-25,MSFT,0.24334
2023-07-26,MSFT,0.265594
2023-07-27,MSFT,0.271787
2023-07-28,MSFT,0.278672
2023-07-31,MSFT,0.263233
2023-08-01,MSFT,0.259273
2023-08-02,MSFT,0.267495
2023-08-03,MSFT,0.265065
2023-08-04,MSFT,0.259421
2023-08-07,MSFT,0.257627
2023-08-08,MSFT,0.254137
2023-08-09,MSFT,0.2503
2023-08-10,MSFT,0.250069
2023-08-11,MSFT,0.250419
2023-08-14,MSFT,0.247057
2023-08-15,MSFT,0.246912
2023-08-16,MSFT,0.246855
2023-08-17,MSFT,0.246124
2023-08-18,MSFT,0.244503
2023-08-21,MSFT,0.246666
2023-08-22,MSFT,0.246654
2023-08-23,MSFT,0.246579
2023-08-24,MSFT,0.248105
2023-08-25,MSFT,0.248773
2023-08-28,MSFT,0.248878
2023-08-29,MSFT,0.22223
2023-08-30,MSFT,0.220734
2023-08-31,MSFT,0.212149
2023-09-01,MSFT,0.211424
2023-09-05,MSFT,0.215974
2023-09-06,MSFT,0.209373
2023-09-07,MSFT,0.182072
2023-09-08,MSFT,0.176079
2023-09-11,MSFT,0.166073
2023-09-12,MSFT,0.172978
2023-09-13,MSFT,0.177004
2023-09-14,MSFT,0.160186
2023-09-15,MSFT,0.176629
2023-09-18,MSFT,0.176767
2023-09-19,MSFT,0.175649
2023-09-20,MSFT,0.185391
2023-09-21,MSFT,0.182698
2023-09-22,MSFT,0.183872
2023-09-25,MSFT,0.18325
2023-09-26,MSFT,0.186991
2023-09-27,MSFT,0.186451
2023-09-28,MSFT,0.186653
2023-09-29,MSFT,0.185226
2023-10-02,MSFT,0.193079
2023-10-03,MSFT,0.201261
2023-10-04,MSFT,0.208033
2023-10-05,MSFT,0.203765
2023-10-06,MSFT,0.206706
2023-10-09,MSFT,0.206202
2023-10-10,MSFT,0.206664
2023-10-11,MSFT,0.205467
2023-10-12,MSFT,0.205816
2023-10-13,MSFT,0.207854
2023-10-16,MSFT,0.212053
2023-10-17,MSFT,0.207828
2023-10-18,MSFT,0.208423
2023-10-19,MSFT,0.207076
2023-10-20,MSFT,0.207278
2023-10-23,MSFT,0.206081
2023-10-24,MSFT,0.199835
2023-10-25,MSFT,0.215314
2023-10-26,MSFT,0.239798
2023-10-27,MSFT,0.229695
2023-10-30,MSFT,0.238284
2023-10-31,MSFT,0.238228
2023-11-01,MSFT,0.234737
2023-11-02,MSFT,0.23418
2023-11-03,MSFT,0.233549
2023-11-06,MSFT,0.234282
2023-11-07,MSFT,0.226731
2023-11-08,MSFT,0.226679
2023-11-09,MSFT,0.229174
2023-11-10,MSFT,0.236215
2023-11-13,MSFT,0.235623
2023-11-14,MSFT,0.218005
2023-11-15,MSFT,0.215508
2023-11-16,MSFT,0.218074
2023-11-17,MSFT,0.219628
2023-11-20,MSFT,0.224295
2023-11-21,MSFT,0.227662
2023-11-22,MSFT,0.227824
2023-11-24,MSFT,0.227137
2023-11-27,MSFT,0.222919
2023-11-28,MSFT,0.22166
2023-11-29,MSFT,0.22498
2023-11-30,MSFT,0.223278
2023-12-01,MSFT,0.228106
2023-12-04,MSFT,0.228314
2023-12-05,MSFT,0.228481
2023-12-06,MSFT,0.232077
2023-12-07,MSFT,0.218328
2023-12-08,MSFT,0.183195
2023-12-11,MSFT,0.186497
2023-12-12,MSFT,0.178746
2023-12-13,MSFT,0.179017
2023-12-14,MSFT,0.183851
2023-12-15,MSFT,0.186164
2023-12-18,MSFT,0.183746
2023-12-19,MSFT,0.181984
2023-12-20,MSFT,0.181379
2023-12-21,MSFT,0.181524
2023-12-22,MSFT,0.18004
2023-12-26,MSFT,0.166176
2023-12-27,MSFT,0.164352
2023-12-28,MSFT,0.162386
2023-12-29,MSFT,0.162438
2024-01-02,MSFT,0.159466
2024-01-03,MSFT,0.152002
2024-01-04,MSFT,0.140845
2024-01-05,MSFT,0.137222
2024-01-08,MSFT,0.143099
2024-01-09,MSFT,0.143356
2024-01-10,MSFT,0.152732
2024-01-11,MSFT,0.150254
2024-01-12,MSFT,0.149597
2024-01-16,MSFT,0.149959
2024-01-17,MSFT,0.1456
2024-01-18,MSFT,0.14064
2024-01-19,MSFT,0.142155
2024-01-22,MSFT,0.139407
2024-01-23,MSFT,0.139448
2024-01-24,MSFT,0.139579
2024-01-25,MSFT,0.136487
2024-01-26,MSFT,0.136332
2024-01-29,MSFT,0.140121
2024-01-30,MSFT,0.119601
2024-01-31,MSFT,0.144936
2024-02-01,MSFT,0.149593
2024-02-02,MSFT,0.156079
2024-02-05,MSFT,0.160706
2024-02-06,MSFT,0.160354
2024-02-07,MSFT,0.168637
2024-02-08,MSFT,0.168648
2024-02-09,MSFT,0.171443
2024-02-12,MSFT,0.177817
2024-02-13,MSFT,0.191533
2024-02-14,MSFT,0.186233
2024-02-15,MSFT,0.188329
2024-02-16,MSFT,0.187874
2024-02-20,MSFT,0.188466
2024-02-21,MSFT,0.183075
2024-02-22,MSFT,0.192666
2024-02-23,MSFT,0.187979
2024-02-26,MSFT,0.189663
2024-02-27,MSFT,0.188302
2024-02-28,MSFT,0.18813
2024-02-29,MSFT,0.191334
2024-03-01,MSFT,0.189574
2024-03-04,MSFT,0.187331
2024-03-05,MSFT,0.206453
2024-03-06,MSFT,0.205914
2024-03-07,MSFT,0.210234
2024-03-08,MSFT,0.210838
2024-03-11,MSFT,0.211096
2024-03-12,MSFT,0.220671
2024-03-13,MSFT,0.220472
2024-03-14,MSFT,0.21488
2024-03-15,MSFT,0.220952
2024-03-18,MSFT,0.215075
2024-03-19,MSFT,0.212409
2024-03-20,MSFT,0.213438
2024-03-21,MSFT,0.207134
2024-03-22,MSFT,0.207264
2024-03-25,MSFT,0.207144
2024-03-26,MSFT,0.203882
2024-03-27,MSFT,0.193191
2024-03-28,MSFT,0.191791
2024-04-01,MSFT,0.191613
2024-04-02,MSFT,0.192056
2024-04-03,MSFT,0.191908
2024-04-04,MSFT,0.19296
2024-04-05,MSFT,0.188403
2024-04-08,MSFT,0.188231
2024-04-09,MSFT,0.186871
2024-04-10,MSFT,0.188445
2024-04-11,MSFT,0.190436
2024-04-12,MSFT,0.191687
2024-04-15,MSFT,0.199819
2024-04-16,MSFT,0.199888
2024-04-17,MSFT,0.181132
2024-04-18,MSFT,0.189164
2024-04-19,MSFT,0.185566
2024-04-22,MSFT,0.185193
2024-04-23,MSFT,0.190892
2024-04-24,MSFT,0.174888
2024-04-25,MSFT,0.187839
2024-04-26,MSFT,0.181515
2024-04-29,MSFT,0.174416
2024-04-30,MSFT,0.195164
2024-05-01,MSFT,0.197973
2024-05-02,MSFT,0.197218
2024-05-03,MSFT,0.206473
2024-05-06,MSFT,0.213203
2024-05-07,MSFT,0.211671
2024-05-08,MSFT,0.211885
2024-05-09,MSFT,0.212391
2024-05-10,MSFT,0.213167
2024-05-13,MSFT,0.211364
2024-05-14,MSFT,0.211523
2024-05-15,MSFT,0.217378
2024-05-16,MSFT,0.21711
2024-05-17,MSFT,0.210666
2024-05-20,MSFT,0.21354
2024-05-21,MSFT,0.21466
2024-05-22,MSFT,0.213685
2024-05-23,MSFT,0.212905
2024-05-24,MSFT,0.209675
2024-05-28,MSFT,0.200916
2024-05-29,MSFT,0.201242
2024-05-30,MSFT,0.22384
2024-05-31,MSFT,0.216894
2024-06-03,MSFT,0.213611
2024-06-04,MSFT,0.213857
2024-06-05,MSFT,0.21552
2024-06-06,MSFT,0.215424
2024-06-07,MSFT,0.201758
2024-06-10,MSFT,0.197386
2024-06-11,MSFT,0.19593
2024-06-12,MSFT,0.172939
2024-06-13,MSFT,0.170527
2024-06-14,MSFT,0.170267
2024-06-17,MSFT,0.163834
2024-06-18,MSFT,0.160301
2024-06-20,MSFT,0.156321
2024-06-21,MSFT,0.157318
2024-06-24,MSFT,0.158845
2024-06-25,MSFT,0.159132
2024-06-26,MSFT,0.158348
2024-06-27,MSFT,0.158006
2024-06-28,MSFT,0.158269
2024-07-01,MSFT,0.166784
2024-07-02,MSFT,0.166396
2024-07-03,MSFT,0.164186
2024-07-05,MSFT,0.16691
2024-07-08,MSFT,0.167699
