trade_date,ticker,close_price,peak_price,drawdown
2026-02-05,MSFT,392.7735,539.8253,-0.272406
2026-02-06,MSFT,400.2265,539.8253,-0.2586
2026-02-09,MSFT,412.6581,539.8253,-0.235571
2026-02-10,MSFT,412.3289,539.8253,-0.236181
2026-02-11,MSFT,403.4491,539.8253,-0.25263
2026-02-12,MSFT,400.9249,539.8253,-0.257306
2026-02-13,MSFT,400.4061,539.8253,-0.258267
2026-02-17,MSFT,395.9562,539.8253,-0.26651
2026-02-18,MSFT,398.69,539.8253,-0.261446
2026-02-19,MSFT,398.46,539.8253,-0.261872
2026-02-20,MSFT,397.23,539.8253,-0.264151
2026-02-23,MSFT,384.47,539.8253,-0.287788
2026-02-24,MSFT,389.0,539.8253,-0.279397
2026-02-25,MSFT,400.6,539.8253,-0.257908
2026-02-26,MSFT,401.72,539.8253,-0.255833
2026-02-27,MSFT,392.74,539.8253,-0.272468
2026-03-02,MSFT,398.55,539.8253,-0.261706
2026-03-03,MSFT,403.93,539.8253,-0.251739
2026-03-04,MSFT,405.2,539.8253,-0.249387
2026-03-05,MSFT,410.68,539.8253,-0.239235
2026-03-06,MSFT,408.96,539.8253,-0.242422
2026-03-09,MSFT,409.41,539.8253,-0.241588
2026-03-10,MSFT,405.76,539.8253,-0.248349
2026-03-11,MSFT,404.88,539.8253,-0.24998
2026-03-12,MSFT,401.86,539.8253,-0.255574
2026-03-13,MSFT,395.55,539.8253,-0.267263
2026-03-16,MSFT,399.95,539.8253,-0.259112
2026-03-17,MSFT,399.41,539.8253,-0.260112
2026-03-18,MSFT,391.79,539.8253,-0.274228
2026-03-19,MSFT,389.02,539.8253,-0.279359
2026-03-20,MSFT,381.87,539.8253,-0.292604
2026-03-23,MSFT,383.0,539.8253,-0.290511
2026-03-24,MSFT,372.74,539.8253,-0.309517
2026-03-25,MSFT,371.04,539.8253,-0.312667
2026-03-26,MSFT,365.97,539.8253,-0.322058
2026-03-27,MSFT,356.77,539.8253,-0.339101
2026-03-30,MSFT,358.96,539.8253,-0.335044
