Date,Ticker,Close_Price
2022-04-13,GOOGL,128.8292
2022-04-14,GOOGL,125.6912
2022-04-18,GOOGL,126.6299
2022-04-19,GOOGL,128.9433
2022-04-20,GOOGL,126.9904
2022-04-21,GOOGL,123.7914
2022-04-22,GOOGL,118.6548
2022-04-25,GOOGL,122.0651
2022-04-26,GOOGL,117.6774
2022-04-27,GOOGL,113.3576
2022-04-28,GOOGL,117.5509
2022-04-29,GOOGL,113.1741
2022-05-02,GOOGL,115.6273
2022-05-03,GOOGL,116.3722
2022-05-04,GOOGL,121.2588
2022-05-05,GOOGL,115.5505
2022-05-06,GOOGL,114.7977
2022-05-09,GOOGL,111.5887
2022-05-10,GOOGL,113.4573
2022-05-11,GOOGL,112.6713
2022-05-12,GOOGL,111.919
2022-05-13,GOOGL,115.0992
2022-05-16,GOOGL,113.5069
2022-05-17,GOOGL,115.5182
2022-05-18,GOOGL,110.9822
2022-05-19,GOOGL,109.4792
2022-05-20,GOOGL,108.0153
2022-05-23,GOOGL,110.5741
2022-05-24,GOOGL,105.1013
2022-05-25,GOOGL,104.9377
2022-05-26,GOOGL,106.9089
2022-05-27,GOOGL,111.3958
2022-05-31,GOOGL,112.8295
2022-06-01,GOOGL,112.9584
2022-06-02,GOOGL,116.6583
2022-06-03,GOOGL,113.6021
2022-06-06,GOOGL,115.8629
2022-06-07,GOOGL,116.1892
2022-06-08,GOOGL,116.2333
2022-06-09,GOOGL,113.8942
2022-06-10,GOOGL,110.2503
2022-06-13,GOOGL,105.5204
2022-06-14,GOOGL,105.8407
2022-06-15,GOOGL,108.8647
2022-06-16,GOOGL,105.1643
2022-06-17,GOOGL,106.2652
2022-06-21,GOOGL,110.6297
2022-06-22,GOOGL,110.5736
2022-06-23,GOOGL,111.3219
2022-06-24,GOOGL,117.0079
2022-06-27,GOOGL,114.884
2022-06-28,GOOGL,111.0893
2022-06-29,GOOGL,110.7858
2022-06-30,GOOGL,108.0698
2022-07-01,GOOGL,107.8462
2022-07-05,GOOGL,112.3345
2022-07-06,GOOGL,113.6328
2022-07-07,GOOGL,117.8093
2022-07-08,GOOGL,118.3751
2022-07-11,GOOGL,114.7283
2022-07-12,GOOGL,113.0858
2022-07-13,GOOGL,110.4407
2022-07-14,GOOGL,109.4628
2022-07-15,GOOGL,110.8612
2022-07-18,GOOGL,108.1362
2022-07-19,GOOGL,112.8771
2022-07-20,GOOGL,112.9663
2022-07-21,GOOGL,113.4027
2022-07-22,GOOGL,107.0155
2022-07-25,GOOGL,106.6287
2022-07-26,GOOGL,104.1591
2022-07-27,GOOGL,112.1332
2022-07-28,GOOGL,113.2837
2022-07-29,GOOGL,115.3665
2022-08-01,GOOGL,113.9185
2022-08-02,GOOGL,114.1863
2022-08-03,GOOGL,117.1121
2022-08-04,GOOGL,117.2212
2022-08-05,GOOGL,116.5071
2022-08-08,GOOGL,116.3385
2022-08-09,GOOGL,115.6739
2022-08-10,GOOGL,118.7188
2022-08-11,GOOGL,117.8658
2022-08-12,GOOGL,120.6826
2022-08-15,GOOGL,121.0793
2022-08-16,GOOGL,120.7024
2022-08-17,GOOGL,118.57
2022-08-18,GOOGL,119.1849
2022-08-19,GOOGL,116.2492
2022-08-22,GOOGL,113.3036
2022-08-23,GOOGL,112.9267
2022-08-24,GOOGL,112.7581
2022-08-25,GOOGL,115.6938
2022-08-26,GOOGL,109.4355
2022-08-29,GOOGL,108.5231
2022-08-30,GOOGL,108.047
2022-08-31,GOOGL,107.3329
2022-09-01,GOOGL,108.8404
2022-09-02,GOOGL,106.9659
2022-09-06,GOOGL,105.9345
2022-09-07,GOOGL,108.5528
2022-09-08,GOOGL,107.4916
2022-09-09,GOOGL,109.743
2022-09-12,GOOGL,109.9513
2022-09-13,GOOGL,103.4649
2022-09-14,GOOGL,104.1393
2022-09-15,GOOGL,102.0664
2022-09-16,GOOGL,101.9573
2022-09-19,GOOGL,102.2251
2022-09-20,GOOGL,100.3109
2022-09-21,GOOGL,98.4662
2022-09-22,GOOGL,99.3191
2022-09-23,GOOGL,97.9306
2022-09-26,GOOGL,97.3653
2022-09-27,GOOGL,96.7008
2022-09-28,GOOGL,99.2299
2022-09-29,GOOGL,96.6214
2022-09-30,GOOGL,94.8659
2022-10-03,GOOGL,97.8314
2022-10-04,GOOGL,100.8068
2022-10-05,GOOGL,100.5986
2022-10-06,GOOGL,100.5886
2022-10-07,GOOGL,97.8711
2022-10-10,GOOGL,97.0578
2022-10-11,GOOGL,96.3834
2022-10-12,GOOGL,96.7603
2022-10-13,GOOGL,98.248
2022-10-14,GOOGL,95.7685
2022-10-17,GOOGL,99.1505
2022-10-18,GOOGL,99.944
2022-10-19,GOOGL,98.8133
2022-10-20,GOOGL,99.1505
2022-10-21,GOOGL,100.301
2022-10-24,GOOGL,101.6796
2022-10-25,GOOGL,103.6236
2022-10-26,GOOGL,94.1518
2022-10-27,GOOGL,91.464
2022-10-28,GOOGL,95.5007
2022-10-31,GOOGL,93.7353
2022-11-01,GOOGL,89.7284
2022-11-02,GOOGL,86.2571
2022-11-03,GOOGL,82.7461
2022-11-04,GOOGL,85.8703
2022-11-07,GOOGL,87.7646
2022-11-08,GOOGL,88.1713
2022-11-09,GOOGL,86.6042
2022-11-10,GOOGL,93.17
2022-11-11,GOOGL,95.6197
2022-11-14,GOOGL,94.9155
2022-11-15,GOOGL,97.6331
2022-11-16,GOOGL,98.0397
2022-11-17,GOOGL,97.5537
2022-11-18,GOOGL,96.6313
2022-11-21,GOOGL,94.8163
2022-11-22,GOOGL,96.2545
2022-11-23,GOOGL,97.6529
2022-11-25,GOOGL,96.6611
2022-11-28,GOOGL,95.2627
2022-11-29,GOOGL,94.4097
2022-11-30,GOOGL,100.1621
2022-12-01,GOOGL,100.1621
2022-12-02,GOOGL,99.6167
2022-12-05,GOOGL,98.6645
2022-12-06,GOOGL,96.185
2022-12-07,GOOGL,94.1618
2022-12-08,GOOGL,92.9418
2022-12-09,GOOGL,92.0691
2022-12-12,GOOGL,92.5451
2022-12-13,GOOGL,94.8461
2022-12-14,GOOGL,94.2907
2022-12-15,GOOGL,90.1152
2022-12-16,GOOGL,89.5201
2022-12-19,GOOGL,87.715
2022-12-20,GOOGL,88.2903
2022-12-21,GOOGL,88.8457
2022-12-22,GOOGL,87.0406
2022-12-23,GOOGL,88.4986
2022-12-27,GOOGL,86.6736
2022-12-28,GOOGL,85.3149
2022-12-29,GOOGL,87.725
2022-12-30,GOOGL,87.5068
2023-01-03,GOOGL,88.3895
2023-01-04,GOOGL,87.358
2023-01-05,GOOGL,85.4934
2023-01-06,GOOGL,86.6241
2023-01-09,GOOGL,87.2985
2023-01-10,GOOGL,87.6952
2023-01-11,GOOGL,90.7698
